order_id,buyer_id,location_id,ordered_at,status
ord_qm_001,buyer_qm_01,loc_qm_koramangala,2026-07-11T08:12:00+05:30,COMPLETED
ord_qm_002,buyer_qm_01,loc_qm_koramangala,2026-07-18T08:05:00+05:30,COMPLETED
ord_qm_003,buyer_qm_01,loc_qm_koramangala,2026-07-19T19:40:00+05:30,COMPLETED
ord_qm_004,buyer_qm_01,loc_qm_koramangala,2026-07-25T08:18:00+05:30,COMPLETED
ord_qm_005,buyer_qm_01,loc_qm_koramangala,2026-08-01T08:09:00+05:30,COMPLETED
ord_qm_006,buyer_qm_01,loc_qm_koramangala,2026-08-02T20:11:00+05:30,COMPLETED
ord_qm_007,buyer_qm_01,loc_qm_koramangala,2026-08-08T08:22:00+05:30,COMPLETED
ord_qm_008,buyer_qm_01,loc_qm_koramangala,2026-08-15T08:14:00+05:30,COMPLETED
ord_qm_009,buyer_qm_01,loc_qm_koramangala,2026-08-16T19:55:00+05:30,COMPLETED
ord_qm_010,buyer_qm_01,loc_qm_koramangala,2026-08-22T08:07:00+05:30,COMPLETED
ord_qm_011,buyer_qm_01,loc_qm_koramangala,2026-08-29T08:16:00+05:30,COMPLETED
ord_qm_012,buyer_qm_02,loc_qm_koramangala,2026-06-14T11:30:00+05:30,COMPLETED
ord_qm_013,buyer_qm_02,loc_qm_koramangala,2026-07-12T11:45:00+05:30,COMPLETED
ord_qm_014,buyer_qm_02,loc_qm_koramangala,2026-08-09T12:02:00+05:30,COMPLETED
ord_qm_015,buyer_qm_02,loc_qm_koramangala,2026-08-30T10:20:00+05:30,COMPLETED
ord_qm_016,buyer_qm_03,loc_qm_koramangala,2026-06-20T09:10:00+05:30,COMPLETED
ord_qm_017,buyer_qm_03,loc_qm_koramangala,2026-07-10T09:05:00+05:30,COMPLETED
ord_qm_018,buyer_qm_03,loc_qm_koramangala,2026-07-30T09:18:00+05:30,COMPLETED
ord_qm_019,buyer_qm_03,loc_qm_koramangala,2026-08-19T09:08:00+05:30,COMPLETED
ord_qm_020,buyer_qm_03,loc_qm_koramangala,2026-09-03T09:12:00+05:30,COMPLETED
ord_qm_021,buyer_qm_04,loc_qm_bellandur,2026-06-08T18:22:00+05:30,COMPLETED
ord_qm_022,buyer_qm_04,loc_qm_bellandur,2026-07-06T18:15:00+05:30,COMPLETED
ord_qm_023,buyer_qm_04,loc_qm_bellandur,2026-08-03T18:10:00+05:30,COMPLETED
ord_qm_024,buyer_qm_05,loc_qm_bellandur,2026-06-21T12:15:00+05:30,COMPLETED
ord_qm_025,buyer_qm_05,loc_qm_bellandur,2026-07-19T12:05:00+05:30,COMPLETED
ord_qm_026,buyer_qm_06,loc_qm_bellandur,2026-07-04T09:30:00+05:30,COMPLETED
ord_qm_027,buyer_qm_06,loc_qm_bellandur,2026-08-15T09:22:00+05:30,COMPLETED
ord_qm_028,buyer_qm_07,loc_qm_indiranagar,2026-06-12T18:40:00+05:30,COMPLETED
ord_qm_029,buyer_qm_07,loc_qm_indiranagar,2026-07-17T18:35:00+05:30,COMPLETED
ord_qm_030,buyer_qm_08,loc_qm_indiranagar,2026-06-28T13:20:00+05:30,COMPLETED
ord_qm_031,buyer_qm_08,loc_qm_indiranagar,2026-08-08T13:15:00+05:30,COMPLETED
ord_qm_032,buyer_qm_09,loc_qm_indiranagar,2026-07-02T10:05:00+05:30,COMPLETED
ord_qm_033,buyer_qm_09,loc_qm_indiranagar,2026-08-20T10:00:00+05:30,COMPLETED
ord_qm_034,buyer_qm_10,loc_qm_indiranagar,2026-06-25T20:10:00+05:30,COMPLETED
ord_qm_035,buyer_qm_10,loc_qm_indiranagar,2026-08-01T20:05:00+05:30,COMPLETED
ord_qm_036,buyer_qm_11,loc_qm_indiranagar,2026-07-09T08:35:00+05:30,COMPLETED
ord_qm_037,buyer_qm_11,loc_qm_indiranagar,2026-08-16T08:30:00+05:30,COMPLETED
ord_qm_038,buyer_qm_12,loc_qm_indiranagar,2026-07-14T16:10:00+05:30,COMPLETED
ord_qm_039,buyer_qm_12,loc_qm_indiranagar,2026-08-29T16:00:00+05:30,COMPLETED
